,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
131,Adalberto Carrasquilla,pa PAN,MF,Houston Dynamo,23-275,1998,25,20,1763,19.6,2,0,2,0,0,9,1,0.10,0.00,0.10,0.10,0.10,1.8,1.8,1.4,3.3,0.09,0.07,0.17,0.09,0.17,Matches,f087912d
132,Wilder Cartagena,pe PER,MF,Orlando City,27-341,1994,3,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches,9f0f5d15
133,Javier Casas,us USA,MF,Chicago Fire,19-108,2003,3,0,26,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2ed8d81b
134,Julio Cascante,cr CRC,DF,Austin,28-331,1993,25,25,2194,24.4,3,2,3,0,0,4,0,0.12,0.08,0.21,0.12,0.21,3.2,3.2,0.5,3.8,0.13,0.02,0.15,0.13,0.15,Matches,cc120b4f
135,Cristian Cásseres Jr.,ve VEN,MFFW,NY Red Bulls,22-222,2000,24,21,1930,21.4,1,3,1,0,0,8,0,0.05,0.14,0.19,0.05,0.19,3.2,3.2,3.1,6.2,0.15,0.14,0.29,0.15,0.29,Matches,f86fe8c1
136,Valentín Castellanos,ar ARG,FW,NYCFC,23-331,1998,17,17,1459,16.2,13,2,8,5,6,9,0,0.80,0.12,0.93,0.49,0.62,15.8,11.2,3.9,15.1,0.97,0.24,1.21,0.69,0.93,Matches,da76bab4
137,Lucas Cavallini,ca CAN,FW,Vancouver,29-245,1992,22,16,1455,16.2,8,1,6,2,2,8,1,0.49,0.06,0.56,0.37,0.43,6.5,5.0,2.1,7.1,0.40,0.13,0.53,0.31,0.44,Matches,dd8de641
138,Roman Celentano,us USA,GK,FC Cincinnati,21-350,2000,20,20,1800,20.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,42ba8628
139,Darwin Cerén,sv SLV,MF,Houston Dynamo,32-242,1989,22,10,970,10.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.5,0.03,0.02,0.05,0.03,0.05,Matches,a58de3f0
140,Edwin Cerrillo,us USA,MF,FC Dallas,21-331,2000,27,16,1587,17.6,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.03,0.04,0.01,0.04,Matches,bd060315
