,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
210,Kalil ElMedkhar,us USA,MFFW,FC Dallas,23-012,1999,4,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,272c1aaf
211,Franco Escobar,ar ARG,DF,Los Angeles FC,27-190,1995,16,12,1010,11.2,1,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.6,0.6,0.8,1.4,0.06,0.07,0.12,0.06,0.12,Matches,54f33d0e
212,Adam Esparza,us USA,MF,LA Galaxy,20-204,2002,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ca135560
213,Cristian Espinoza,ar ARG,FWMF,San Jose,27-149,1995,27,27,2297,25.5,6,7,2,4,4,4,0,0.24,0.27,0.51,0.08,0.35,6.2,3.1,8.5,11.6,0.24,0.33,0.57,0.12,0.46,Matches,9c794a80
214,Jhon Espinoza,ec ECU,DFFW,Chicago Fire,23-187,1999,14,3,410,4.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.6,0.05,0.07,0.13,0.05,0.13,Matches,79666d5a
215,Roger Espinoza,hn HON,MF,Sporting KC,35-309,1986,24,20,1547,17.2,2,1,2,0,0,10,1,0.12,0.06,0.17,0.12,0.17,1.7,1.7,0.8,2.5,0.10,0.05,0.15,0.10,0.15,Matches,60b7c195
216,Lucas Esteves,br BRA,DF,Colorado Rapids,22-067,2000,23,18,1685,18.7,1,2,1,0,0,5,1,0.05,0.11,0.16,0.05,0.16,1.3,1.3,2.0,3.2,0.07,0.11,0.17,0.07,0.17,Matches,c6ec0258
217,Michael Estrada,ec ECU,FW,D.C. United,26-145,1996,16,11,861,9.6,4,3,3,1,1,1,0,0.42,0.31,0.73,0.31,0.63,3.0,2.2,2.2,4.5,0.31,0.23,0.55,0.23,0.47,Matches,773f5f12
218,Derrick Etienne,ht HAI,FWDF,Columbus Crew,25-278,1996,25,19,1716,19.1,6,5,6,0,0,4,0,0.31,0.26,0.58,0.31,0.58,6.0,6.0,3.2,9.2,0.31,0.17,0.48,0.31,0.48,Matches,59059f1e
219,Diego Fagúndez,uy URU,FWMF,Austin,27-197,1995,27,26,2152,23.9,6,11,6,0,0,3,0,0.25,0.46,0.71,0.25,0.71,3.0,3.0,4.6,7.6,0.12,0.19,0.32,0.12,0.32,Matches,fe81682e
220,Mamadou Fall,sn SEN,DF,Los Angeles FC,19-282,2002,16,13,1200,13.3,1,1,1,0,0,6,0,0.07,0.07,0.15,0.07,0.15,1.7,1.7,0.1,1.8,0.12,0.01,0.13,0.12,0.13,Matches,805a2a11
221,Marco Farfan,us USA,DF,FC Dallas,23-291,1998,27,27,2341,26.0,1,3,1,0,0,5,0,0.04,0.12,0.15,0.04,0.15,0.4,0.4,2.0,2.4,0.01,0.08,0.09,0.01,0.09,Matches,cfc68595
222,Andrew Farrell,us USA,DF,New England,30-150,1992,25,25,2148,23.9,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.01,0.00,0.01,0.01,0.01,Matches,71eda165
223,Mohamed Farsi,ca CAN,FWDF,Columbus Crew,22-257,1999,4,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.16,0.16,0.00,0.16,Matches,81039302
224,Felipe,br BRA,MFFW,Austin,31-334,1990,23,4,590,6.6,1,1,1,0,0,4,0,0.15,0.15,0.31,0.15,0.31,1.5,1.5,0.4,1.9,0.23,0.05,0.29,0.23,0.29,Matches,2415bd0a
225,Thiago Fernandes,br BRA,FWMF,Houston Dynamo,21-170,2001,3,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e3550df1
226,Omir Fernandez,us USA,MFFW,NY Red Bulls,23-203,1999,24,20,1296,14.4,2,3,2,0,0,1,0,0.14,0.21,0.35,0.14,0.35,2.5,2.5,3.0,5.4,0.17,0.21,0.38,0.17,0.38,Matches,622986f0
227,Jesus Ferreira,us USA,FWMF,FC Dallas,21-249,2000,28,25,2271,25.2,15,5,15,0,0,5,0,0.59,0.20,0.79,0.59,0.79,11.4,11.4,4.7,16.2,0.45,0.19,0.64,0.45,0.64,Matches,f61246d8
228,Sebastián Ferreira,py PAR,FW,Houston Dynamo,24-198,1998,24,22,1772,19.7,9,3,9,0,0,1,0,0.46,0.15,0.61,0.46,0.61,5.5,5.5,2.7,8.2,0.28,0.14,0.41,0.28,0.41,Matches,5439dba0
229,Stuart Findlay,sct SCO,DF,Philadelphia,26-350,1995,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.02,0.05,0.02,0.05,Matches,edffe99a
230,Ethan Finlay,us USA,FWMF,Austin,32-024,1990,27,16,1418,15.8,5,5,5,0,0,0,0,0.32,0.32,0.63,0.32,0.63,3.3,3.3,2.0,5.2,0.21,0.13,0.33,0.21,0.33,Matches,c16a59af
231,Oniel Fisher,jm JAM,DF,Minnesota Utd,30-281,1991,10,6,586,6.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,ed5fdca6
232,Leon Flach,us USA,MF,Philadelphia,21-183,2001,28,27,2205,24.5,0,2,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.8,0.8,1.1,1.9,0.03,0.04,0.08,0.03,0.08,Matches,39859fa1
233,Ashley Fletcher,eng ENG,FW,NY Red Bulls,26-332,1995,7,3,249,2.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.8,1.6,0.29,0.29,0.57,0.29,0.57,Matches,eeb6551f
234,Edison Flores,pe PER,MFFW,D.C. United,28-108,1994,12,11,828,9.2,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,1.4,1.4,0.8,2.2,0.15,0.09,0.24,0.15,0.24,Matches,ef2c82f8
235,George Fochive,us USA,MF,Portland Timbers,30-159,1992,2,0,31,0.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f99000bb
236,Nathan Fogaça,br BRA,FW,Portland Timbers,23-082,1999,9,4,405,4.5,2,0,2,0,0,1,0,0.44,0.00,0.44,0.44,0.44,2.1,2.1,0.1,2.2,0.46,0.03,0.49,0.46,0.49,Matches,aad135a3
237,Andreu Fontàs,es ESP,DF,Sporting KC,32-289,1989,22,21,1897,21.1,2,0,2,0,0,6,1,0.09,0.00,0.09,0.09,0.09,1.4,1.4,0.2,1.5,0.06,0.01,0.07,0.06,0.07,Matches,0f138d5a
238,Kortne Ford,us USA,DF,Sporting KC,26-216,1996,12,9,792,8.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,552a7707
239,Taxiarchis Fountas,gr GRE,FWMF,D.C. United,26-360,1995,20,16,1402,15.6,11,1,11,0,1,1,0,0.71,0.06,0.77,0.71,0.77,8.4,7.6,1.6,9.2,0.54,0.10,0.64,0.49,0.59,Matches,2ce71308
240,Franco Fragapane,ar ARG,FWMF,Minnesota Utd,29-205,1993,26,22,1738,19.3,6,2,6,0,0,5,0,0.31,0.10,0.41,0.31,0.41,6.0,6.0,2.9,8.9,0.31,0.15,0.46,0.31,0.46,Matches,09538c47
241,Alan Franco,ec ECU,MF,Charlotte,24-009,1998,10,9,782,8.7,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.7,0.7,0.5,1.1,0.08,0.05,0.13,0.08,0.13,Matches,c76b161b
242,Alan Franco,ar ARG,DF,Atlanta Utd,25-323,1996,24,24,2084,23.2,1,1,1,0,0,3,0,0.04,0.04,0.09,0.04,0.09,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches,a548281c
243,Kobe Franklin,ca CAN,DF,Toronto FC,19-112,2003,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,407325c4
244,Stefan Frei,ch SUI,GK,Seattle,36-132,1986,21,21,1890,21.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1d0a0f3e
245,Christian Fuchs,at AUT,DF,Charlotte,36-145,1986,24,21,1843,20.5,3,0,0,3,3,3,1,0.15,0.00,0.15,0.00,0.00,3.1,0.8,0.2,1.0,0.15,0.01,0.16,0.04,0.05,Matches,a67a09fb
246,Ruben Gabrielsen,no NOR,DF,Austin,30-173,1992,27,25,2219,24.7,2,0,2,0,0,3,0,0.08,0.00,0.08,0.08,0.08,0.6,0.6,0.3,0.9,0.02,0.01,0.04,0.02,0.04,Matches,9e64fc85
247,Ray Gaddis,us USA,DF,FC Cincinnati,32-229,1990,18,10,970,10.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.6,0.7,0.01,0.06,0.07,0.01,0.07,Matches,8348b24d
248,McKinze Gaines,us USA,FWMF,Charlotte,24-181,1998,19,10,900,10.0,1,2,1,0,0,2,0,0.10,0.20,0.30,0.10,0.30,1.7,1.7,2.3,4.0,0.17,0.23,0.40,0.17,0.40,Matches,8ef72983
249,Jon Gallagher,ie IRL,DF,Austin,26-188,1996,25,17,1561,17.3,1,4,1,0,0,3,0,0.06,0.23,0.29,0.06,0.29,0.3,0.3,1.4,1.8,0.02,0.08,0.10,0.02,0.10,Matches,9d5afdfb
250,Pedro Gallese,pe PER,GK,Orlando City,32-188,1990,26,26,2340,26.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,b76e1394
251,Christopher Garcia,us USA,MFFW,Real Salt Lake,19-229,2003,2,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f6390a6b
252,Mender García,co COL,MFFW,Minnesota Utd,23-306,1998,2,0,43,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2375dd75
253,Chase Gasper,us USA,DF,LA Galaxy,26-217,1996,11,6,569,6.3,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matches,7371ec36
254,Ryan Gauld,sct SCO,MFFW,Vancouver,26-257,1995,23,20,1809,20.1,6,3,4,2,2,4,0,0.30,0.15,0.45,0.20,0.35,6.7,5.2,3.6,8.8,0.33,0.18,0.51,0.26,0.44,Matches,862e93c2
255,Dániel Gazdag,hu HUN,MF,Philadelphia,26-181,1996,28,28,2391,26.6,16,4,11,5,5,4,0,0.60,0.15,0.75,0.41,0.56,13.5,9.6,3.8,13.4,0.51,0.14,0.65,0.36,0.51,Matches,527d0e31
256,Kieran Gibbs,eng ENG,DF,Inter Miami,32-338,1989,12,7,531,5.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.7,0.11,0.02,0.13,0.11,0.13,Matches,46ee5234
257,Carles Gil,es ESP,MFFW,New England,29-281,1992,27,26,2371,26.3,6,8,3,3,3,3,0,0.23,0.30,0.53,0.11,0.42,6.4,4.2,7.6,11.8,0.24,0.29,0.53,0.16,0.45,Matches,11c30a46
258,José Antonio Martínez Gil,es ESP,DF,FC Dallas,29-199,1993,26,26,2178,24.2,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.8,0.03,0.01,0.03,0.03,0.03,Matches,8e049cbd
259,Gastón Giménez,py PAR,MF,Chicago Fire,31-034,1991,22,20,1695,18.8,0,2,0,0,0,6,0,0.00,0.11,0.11,0.00,0.11,1.3,1.3,1.6,2.9,0.07,0.08,0.15,0.07,0.15,Matches,ab66cc31
260,Francisco Ginella,uy URU,MF,Los Angeles FC,23-221,1999,15,5,445,4.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.03,0.03,0.06,0.03,0.06,Matches,5a28a782
261,Nicholas Gioacchini,us USA,MFFW,Orlando City,22-036,2000,3,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.17,0.00,0.17,0.17,0.17,Matches,79ab7593
262,Justen Glad,us USA,DF,Real Salt Lake,25-183,1997,20,20,1763,19.6,3,0,3,0,0,5,0,0.15,0.00,0.15,0.15,0.15,2.1,2.1,0.3,2.3,0.11,0.01,0.12,0.11,0.12,Matches,5b768b0f
263,Jakob Glesnes,no NOR,DF,Philadelphia,28-158,1994,28,28,2520,28.0,0,2,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,0.8,1.4,0.02,0.03,0.05,0.02,0.05,Matches,ac65aef3
264,Chris Gloster,us USA,DF,NYCFC,22-033,2000,11,6,481,5.3,1,1,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,0.3,0.3,1.4,1.7,0.05,0.26,0.31,0.05,0.31,Matches,01cd3c12
265,Marcus Godinho,ca CAN,DF,Vancouver,25-063,1997,19,11,895,9.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.02,0.03,0.05,0.02,0.05,Matches,27854bf6
266,Aníbal Godoy,pa PAN,MF,Nashville,32-201,1990,15,9,794,8.8,1,2,1,0,0,4,0,0.11,0.23,0.34,0.11,0.34,0.8,0.8,0.3,1.1,0.09,0.04,0.13,0.09,0.13,Matches,2d496ca3
267,Erik Godoy,ar ARG,DF,Vancouver,29-014,1993,6,5,454,5.0,1,0,1,0,0,1,0,0.20,0.00,0.20,0.20,0.20,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matches,e8b80334
268,Eulânio Ângelo Chipela Gomes,gw GNB,DF,FC Dallas,28-105,1994,23,10,1027,11.4,0,2,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.5,0.5,1.5,2.0,0.05,0.13,0.18,0.05,0.18,Matches,d9b9b71a
269,Yeimar Gómez Andrade,co COL,DF,Seattle,30-061,1992,21,19,1687,18.7,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,1.3,1.3,0.0,1.3,0.07,0.00,0.07,0.07,0.07,Matches,e43c8d72
270,Jonathan González,mx MEX,MF,Minnesota Utd,23-139,1999,2,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,a8785279
271,Omar Gonzalez,us USA,DF,New England,33-323,1988,14,8,749,8.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.03,0.00,0.03,0.03,0.03,Matches,0d2fe665
272,Samuel Grandsir,fr FRA,FWMF,LA Galaxy,26-016,1996,25,14,1188,13.2,3,3,3,0,0,3,0,0.23,0.23,0.45,0.23,0.45,4.1,4.1,2.7,6.8,0.31,0.20,0.52,0.31,0.52,Matches,d2448564
273,Tayvon Gray,us USA,DF,NYCFC,20-011,2002,20,15,1353,15.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.9,1.1,0.01,0.06,0.07,0.01,0.07,Matches,c839e1b2
274,Gregore,br BRA,MF,Inter Miami,28-181,1994,24,24,2160,24.0,0,2,0,0,0,9,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.0,1.4,0.02,0.04,0.06,0.02,0.06,Matches,49815f34
275,Ján Greguš,sk SVK,MF,San Jose,31-213,1991,23,16,1522,16.9,0,5,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,0.8,0.8,2.3,3.1,0.05,0.14,0.18,0.05,0.18,Matches,7d974435
276,Julian Gressel,de GER,DF,D.C. United,28-257,1993,17,16,1379,15.3,0,4,0,0,0,2,0,0.00,0.26,0.26,0.00,0.26,2.3,2.3,3.0,5.3,0.15,0.19,0.34,0.15,0.34,Matches,acd47bc0
277,Julian Gressel,de GER,DF,Vancouver,28-257,1993,7,6,504,5.6,1,1,1,0,0,0,0,0.18,0.18,0.36,0.18,0.36,0.7,0.7,0.5,1.3,0.13,0.10,0.23,0.13,0.23,Matches,acd47bc0
278,Sami Guediri,us USA,DF,D.C. United,25-012,1997,12,9,713,7.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.6,0.01,0.07,0.08,0.01,0.08,Matches,e3dc71a7
279,Brian Gutiérrez,us USA,FWMF,Chicago Fire,19-074,2003,26,13,1134,12.6,1,3,1,0,0,4,1,0.08,0.24,0.32,0.08,0.32,2.0,2.0,2.1,4.1,0.16,0.17,0.32,0.16,0.32,Matches,d88f31db
280,Cristián Gutiérrez,cl CHI,DF,Vancouver,25-193,1997,11,6,616,6.8,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,0.3,0.3,0.8,1.1,0.04,0.12,0.16,0.04,0.16,Matches,6e56a4f2
281,Diego Gutierrez,us USA,FW,Portland Timbers,23-121,1999,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,4903a306
282,Felipe Gutiérrez,cl CHI,MF,Colorado Rapids,31-326,1990,5,3,307,3.4,0,1,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,0.2,0.2,0.5,0.7,0.06,0.14,0.20,0.06,0.20,Matches,80ae314a
283,Andrew Gutman,us USA,DF,Atlanta Utd,25-332,1996,18,15,1332,14.8,2,0,2,0,0,4,0,0.14,0.00,0.14,0.14,0.14,1.9,1.9,0.5,2.5,0.13,0.04,0.17,0.13,0.17,Matches,b7a23251
284,Brad Guzan,us USA,GK,Atlanta Utd,37-355,1984,7,7,612,6.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,d899e3bf
285,Justin Haak,us USA,MF,NYCFC,20-352,2001,11,4,541,6.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.5,0.01,0.07,0.08,0.01,0.08,Matches,c644e140
286,Luke Haakenson,us USA,MF,Nashville,24-354,1997,21,5,530,5.9,0,3,0,0,0,3,0,0.00,0.51,0.51,0.00,0.51,1.1,1.1,1.7,2.9,0.19,0.29,0.49,0.19,0.49,Matches,77d28e45
287,Teenage Hadebe,zw ZIM,DF,Houston Dynamo,26-347,1995,17,16,1416,15.7,2,0,2,0,0,10,1,0.13,0.00,0.13,0.13,0.13,1.3,1.3,0.5,1.8,0.08,0.03,0.12,0.08,0.12,Matches,582952f2
288,Nick Hagglund,us USA,DF,FC Cincinnati,29-350,1992,25,24,2137,23.7,0,1,0,0,0,5,1,0.00,0.04,0.04,0.00,0.04,1.3,1.3,0.9,2.2,0.05,0.04,0.09,0.05,0.09,Matches,39632554
289,Marlon Hairston,us USA,DF,Columbus Crew,28-160,1994,3,1,153,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.10,0.10,0.00,0.10,Matches,1d531c57
290,Siad Haji,so SOM,DFFW,San Jose,22-272,1999,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.89,0.89,0.00,0.89,Matches,9212f1cb
291,Michael Halliday,us USA,DFMF,Orlando City,19-220,2003,4,0,21,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6ad5f50e
292,Ahmed Hamdi,eg EGY,MF,CF Montréal,24-201,1998,9,3,332,3.7,0,1,0,0,0,2,0,0.00,0.27,0.27,0.00,0.27,0.4,0.4,0.6,1.0,0.10,0.16,0.27,0.10,0.27,Matches,fc7c8d3d
293,Bill Hamid,us USA,GK,D.C. United,31-278,1990,10,10,858,9.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,012fc030
294,Niko Hansen,dk DEN,FW,Minnesota Utd,27-350,1994,3,0,79,0.9,0,1,0,0,0,0,0,0.00,1.14,1.14,0.00,1.14,0.2,0.2,0.1,0.3,0.25,0.12,0.37,0.25,0.37,Matches,9bebd450
295,Cameron Harper,us USA,DFFW,NY Red Bulls,20-284,2001,16,5,696,7.7,2,2,2,0,0,4,0,0.26,0.26,0.52,0.26,0.52,1.0,1.0,1.5,2.5,0.13,0.19,0.32,0.13,0.32,Matches,4a78c769
296,Nathan Harriel,us USA,DF,Philadelphia,21-129,2001,21,18,1555,17.3,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.9,0.9,0.5,1.4,0.05,0.03,0.08,0.05,0.08,Matches,b3edbeff
297,Calvin Harris,eng ENG,FWDF,FC Cincinnati,22-163,2000,8,2,179,2.0,1,1,1,0,0,1,0,0.50,0.50,1.01,0.50,1.01,1.4,1.4,0.7,2.1,0.72,0.35,1.07,0.72,1.07,Matches,07b0aeef
298,Thomas Hasal,ca CAN,GK,Vancouver,23-052,1999,12,12,1059,11.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,86bac87b
299,Jacori Hayes,us USA,MF,Minnesota Utd,27-062,1995,8,0,75,0.8,0,1,0,0,0,1,0,0.00,1.20,1.20,0.00,1.20,0.0,0.0,0.1,0.2,0.05,0.14,0.19,0.05,0.19,Matches,d2173b7b
300,Héber,br BRA,FW,NYCFC,31-020,1991,23,7,751,8.3,6,0,5,1,1,0,0,0.72,0.00,0.72,0.60,0.60,4.3,3.6,0.8,4.4,0.52,0.10,0.61,0.43,0.53,Matches,d552c4a1
301,Matt Hedges,us USA,DF,FC Dallas,32-151,1990,25,24,2068,23.0,1,0,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,1.3,1.3,0.2,1.6,0.06,0.01,0.07,0.06,0.07,Matches,5e2a4d0e
302,Chris Hegardt,us USA,FWMF,Charlotte,20-236,2002,3,0,19,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.86,0.86,0.00,0.86,Matches,99a6142d
303,Doneil Henry,ca CAN,DF,Los Angeles FC,29-132,1993,5,2,134,1.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,22636117
304,Doneil Henry,ca CAN,DF,Toronto FC,29-132,1993,3,0,51,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,22636117
305,Fabian Herbers,de GER,FWMF,Chicago Fire,29-013,1993,23,8,896,10.0,1,1,1,0,0,3,0,0.10,0.10,0.20,0.10,0.20,0.7,0.7,1.7,2.4,0.07,0.17,0.24,0.07,0.24,Matches,5cbf5ccd
306,Felipe Hernandez,us USA,MF,Sporting KC,24-083,1998,28,15,1550,17.2,1,3,1,0,0,2,0,0.06,0.17,0.23,0.06,0.23,1.3,1.3,2.5,3.9,0.08,0.15,0.23,0.08,0.23,Matches,31a4d0b8
307,Javier Hernández,mx MEX,FW,LA Galaxy,34-090,1988,24,23,1934,21.5,12,2,10,2,3,5,0,0.56,0.09,0.65,0.47,0.56,12.1,9.8,1.4,11.2,0.56,0.06,0.63,0.45,0.52,Matches,189cee7b
308,Ronald Hernández,ve VEN,DF,Atlanta Utd,24-343,1997,9,7,470,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.01,0.05,0.06,0.01,0.06,Matches,de907bab
309,Aaron Herrera,us USA,DF,Real Salt Lake,25-085,1997,21,19,1728,19.2,0,1,0,0,0,5,1,0.00,0.05,0.05,0.00,0.05,0.3,0.3,2.0,2.3,0.02,0.10,0.12,0.02,0.12,Matches,d86e3070
310,Héctor Herrera,mx MEX,MF,Houston Dynamo,32-133,1990,8,6,621,6.9,0,1,0,0,0,3,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,0.3,1.0,0.10,0.05,0.15,0.10,0.15,Matches,a8542814
311,Gonzalo Higuaín,ar ARG,FW,Inter Miami,34-263,1987,21,13,1171,13.0,9,3,6,3,3,2,0,0.69,0.23,0.92,0.46,0.69,5.9,3.6,3.7,7.2,0.45,0.28,0.73,0.28,0.56,Matches,8a08491a
312,Brendan Hines-Ike,us USA,DF,D.C. United,27-273,1994,20,20,1682,18.7,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.01,0.00,0.01,0.01,0.01,Matches,b807c1dc
313,Bongokuhle Hlongwane,za RSA,FWMF,Minnesota Utd,22-071,2000,27,16,1432,15.9,2,4,2,0,0,0,0,0.13,0.25,0.38,0.13,0.38,4.6,4.6,3.4,8.0,0.29,0.21,0.50,0.29,0.50,Matches,de9952b5
314,Danny Hoesen,nl NED,FW,Austin,31-227,1991,12,2,272,3.0,3,0,3,0,0,0,0,0.99,0.00,0.99,0.99,0.99,2.5,2.5,0.2,2.6,0.82,0.05,0.86,0.82,0.86,Matches,5ef1939b
315,Ryan Hollingshead,us USA,DF,Los Angeles FC,31-136,1991,24,16,1481,16.5,4,1,4,0,0,3,0,0.24,0.06,0.30,0.24,0.30,1.6,1.6,0.7,2.3,0.10,0.04,0.14,0.10,0.14,Matches,28b58797
316,Erik Holt,us USA,DF,Real Salt Lake,25-358,1996,10,6,563,6.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.06,0.00,0.06,0.06,0.06,Matches,3677d047
317,Jackson Hopkins,us USA,FWMF,D.C. United,18-060,2004,15,9,773,8.6,0,1,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,0.3,0.3,1.8,2.1,0.04,0.21,0.25,0.04,0.25,Matches,8344adf5
318,Adrien Hunou,fr FRA,FW,Minnesota Utd,28-223,1994,9,1,128,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.4,0.26,0.03,0.29,0.26,0.29,Matches,d14229f3
